age_indxs,age,balance_indxs,balance,duration_indxs,duration,campaign_indxs,campaign,pdays_indxs,pdays,previous_indxs,previous
29158.0,83.0,34.0,10635.0,37.0,1666.0,758.0,7.0,24060,151,24060,3
29261.0,75.0,65.0,6530.0,43.0,1492.0,780.0,8.0,24062,166,24062,1
29263.0,75.0,69.0,12223.0,53.0,787.0,906.0,7.0,24064,91,24064,4
29322.0,83.0,70.0,5935.0,59.0,1778.0,1103.0,8.0,24072,86,24072,4
29865.0,75.0,186.0,4384.0,61.0,812.0,1105.0,7.0,24077,143,24077,3
30225.0,72.0,187.0,4080.0,83.0,1042.0,1386.0,8.0,24080,147,24080,2
30264.0,71.0,205.0,5699.0,86.0,1467.0,1446.0,7.0,24086,89,24086,2
30908.0,76.0,334.0,24598.0,87.0,1389.0,1469.0,7.0,24122,140,24122,4
31051.0,83.0,382.0,8486.0,109.0,849.0,1483.0,9.0,24127,176,24127,1
31052.0,71.0,391.0,8730.0,130.0,677.0,1502.0,9.0,24136,101,24136,11
31055.0,85.0,428.0,4325.0,152.0,2033.0,1547.0,8.0,24151,174,24151,2
31057.0,72.0,446.0,45248.0,168.0,673.0,1551.0,8.0,24160,170,24160,3
31069.0,90.0,493.0,5345.0,170.0,1056.0,1579.0,7.0,24165,167,24165,3
31077.0,71.0,510.0,5435.0,179.0,717.0,1626.0,9.0,24170,174,24170,1
31089.0,82.0,533.0,3877.0,181.0,683.0,1905.0,7.0,24184,195,24184,2
31099.0,73.0,565.0,5431.0,182.0,1077.0,1914.0,9.0,24186,165,24186,2
31101.0,74.0,569.0,5090.0,224.0,1419.0,1917.0,7.0,24187,129,24187,2
31108.0,71.0,592.0,4070.0,231.0,730.0,2017.0,7.0,24189,188,24189,1
31116.0,75.0,630.0,4246.0,232.0,746.0,2018.0,8.0,24198,196,24198,2
31125.0,78.0,756.0,3754.0,241.0,702.0,2033.0,9.0,24203,172,24203,1
